"Rankings, r",Year,Flow (m3/s),Gring mod. Data: P{X>=x_r},"Return Period, T",y_T
34,1981,6.46,0.96,1.05,-1.14
3,1982,15.87,0.07,13.72,2.58
18,1983,10.34,0.50,2.00,0.37
17,1984,10.85,0.47,2.12,0.45
13,1985,11.46,0.36,2.80,0.82
1,1986,19.63,0.02,62.71,4.13
12,1987,11.50,0.33,3.04,0.92
26,1988,8.12,0.73,1.37,-0.26
21,1989,9.75,0.59,1.71,0.13
16,1990,10.91,0.44,2.26,0.54
6,1991,13.14,0.16,6.32,1.76
4,1992,15.04,0.10,9.87,2.24
24,1993,9.29,0.67,1.49,-0.11
29,1994,7.68,0.81,1.23,-0.52
31,1995,7.26,0.87,1.15,-0.71
33,1996,6.76,0.93,1.08,-0.96
8,1997,12.77,0.22,4.65,1.42
9,1998,12.00,0.24,4.10,1.28
35,1999,5.52,0.98,1.02,-1.42
7,2000,12.84,0.19,5.35,1.58
19,2001,10.04,0.53,1.89,0.29
30,2002,7.44,0.84,1.19,-0.61
15,2003,11.12,0.41,2.41,0.62
25,2004,8.56,0.70,1.43,-0.18
14,2005,11.27,0.39,2.59,0.72
27,2006,8.04,0.76,1.32,-0.34
32,2007,7.23,0.90,1.11,-0.83
22,2008,9.52,0.61,1.63,0.05
2,2009,16.90,0.04,22.51,3.09
10,2010,11.87,0.27,3.67,1.15
28,2011,7.97,0.78,1.27,-0.43
20,2012,9.79,0.56,1.80,0.21
23,2013,9.31,0.64,1.56,-0.03
11,2014,11.77,0.30,3.33,1.03
5,2015,14.35,0.13,7.70,1.97
